0.0035 	EXP 	slider_2: styleTweaks = ['triangleMarker']
0.0035 	EXP 	slider_2: contrast = 1.0
0.0035 	EXP 	slider_2: markerPos = None
0.0035 	EXP 	slider_2: autoLog = True
0.0035 	EXP 	slider: autoLog = True
0.0035 	EXP 	slider: styleTweaks = []
0.0035 	EXP 	slider: styleTweaks = []
0.0035 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0035 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0035 	EXP 	slider: contrast = 1.0
0.0035 	EXP 	slider: markerPos = None
0.0035 	EXP 	slider: autoLog = True
0.0035 	EXP 	slider_2: autoLog = True
0.0035 	EXP 	slider_2: styleTweaks = []
0.0035 	EXP 	slider_2: styleTweaks = []
0.0035 	EXP 	slider_2: styleTweaks = ['triangleMarker']
0.0035 	EXP 	slider_2: styleTweaks = ['triangleMarker']
0.0035 	EXP 	slider_2: contrast = 1.0
0.0035 	EXP 	slider_2: markerPos = None
0.0035 	EXP 	slider_2: autoLog = True
0.0106 	EXP 	Imported instructions/instructions_bathroom.xlsx as conditions, 4 conditions, 1 params
0.0109 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
0.0110 	EXP 	New trial (rep=0, index=0): {'slide': 'instructions/Slide1.jpg'}
0.0515 	EXP 	slide_img: image = 'instructions/Slide1.jpg'
0.0515 	EXP 	slide_img: autoDraw = True
1.3253 	DATA 	Keypress: space
1.3275 	EXP 	New trial (rep=0, index=1): {'slide': 'instructions/Slide3.jpg'}
1.3464 	EXP 	slide_img: autoDraw = False
1.3464 	EXP 	slide_img: image = 'instructions/Slide3.jpg'
1.3464 	EXP 	slide_img: autoDraw = True
1.6914 	DATA 	Keypress: space
1.6920 	EXP 	New trial (rep=0, index=2): {'slide': 'instructions/Slide4.jpg'}
1.7082 	EXP 	slide_img: autoDraw = False
1.7082 	EXP 	slide_img: image = 'instructions/Slide4.jpg'
1.7082 	EXP 	slide_img: autoDraw = True
2.0911 	DATA 	Keypress: space
2.0919 	EXP 	New trial (rep=0, index=3): {'slide': 'instructions/Slide5.jpg'}
2.1082 	EXP 	slide_img: autoDraw = False
2.1082 	EXP 	slide_img: image = 'instructions/Slide5.jpg'
2.1082 	EXP 	slide_img: autoDraw = True
2.6419 	DATA 	Keypress: space
