sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask,mask_dur,mask_texture,jitter
101,49,1,categorization,0,kitchen,SHINEd_sun_awcpdzzznmweyyhv.tif,107,83.33,33.33,1,83.33,121,1.45903247111675
101,50,1,categorization,0,kitchen,SHINEd_sun_acfluyeqiftljamq.tif,71,83.33,33.33,1,83.33,121,1.61757218605441
101,1,2,categorization,0,kitchen,SHINEd_sun_aehawpgmrlhlvcow.tif,78,83.33,33.33,1,83.33,121,1.07736009834355
101,2,2,categorization,0,kitchen,SHINEd_sun_aegoxogugdkwpmpj.tif,77,83.33,33.33,1,83.33,121,0.893932375777896
101,3,2,categorization,0,kitchen,SHINEd_sun_aglwoufpxbtxqecp.tif,84,83.33,33.33,1,83.33,121,1.19624140105934
101,4,2,categorization,0,kitchen,SHINEd_sun_acwjdupvyjsugpay.tif,73,83.33,33.33,1,83.33,121,1.28089449281135
101,5,2,categorization,0,kitchen,SHINEd_sun_akcjzhbbjlbogpdi.tif,95,83.33,33.33,1,83.33,121,1.00620732820169
101,6,2,categorization,0,bathroom,SHINEd_sun_abjtwfukuwddzted.tif,17,83.33,33.33,1,83.33,121,1.37562820139923
101,7,2,categorization,0,kitchen,SHINEd_sun_alalhpqajafvlnho.tif,96,83.33,33.33,1,83.33,121,1.67732811104963
101,8,2,categorization,0,kitchen,SHINEd_sun_ataniphupyuxeowc.tif,102,83.33,33.33,1,83.33,121,1.13806145568027
101,9,2,categorization,0,kitchen,SHINEd_sun_aggjlwcdjsjcaemh.tif,83,83.33,33.33,1,83.33,121,1.87001004359669
101,10,2,categorization,0,bathroom,SHINEd_sun_anltpptcpfdrhlks.tif,41,83.33,33.33,1,83.33,121,1.68669301014074
101,11,2,categorization,0,bathroom,SHINEd_sun_aapitsgbtktqubfy.tif,14,83.33,33.33,1,83.33,121,1.15973279946904
101,12,2,categorization,0,bathroom,SHINEd_sun_azqyogdvyhahyram.tif,60,83.33,33.33,1,83.33,121,1.5454230873274
101,13,2,categorization,0,bathroom,SHINEd_sun_atstyziqcmkahyxk.tif,51,83.33,33.33,1,83.33,121,0.944136393318864
101,14,2,categorization,0,bathroom,SHINEd_sun_anlddfvefwvocyae.tif,40,83.33,33.33,1,83.33,121,1.24703805492677
101,15,2,categorization,0,bathroom,SHINEd_sun_aclfzgynxzxlbepz.tif,20,83.33,33.33,1,83.33,121,1.41695107704039
101,16,2,categorization,0,kitchen,SHINEd_sun_aaofphpvkeqlhwgu.tif,64,83.33,33.33,1,83.33,121,0.702765044011696
101,17,2,categorization,0,kitchen,SHINEd_labelme_rykdqxenmhulbdn.tif,61,83.33,33.33,1,83.33,121,1.5116085214547
101,18,2,categorization,0,kitchen,SHINEd_sun_ahvszpwjtodgwusx.tif,91,83.33,33.33,1,83.33,121,1.23313314535602
101,19,2,categorization,0,kitchen,SHINEd_sun_ataniphupyuxeowc.tif,102,83.33,33.33,1,83.33,121,1.43401685775603
